CaD.,DISTRITO,Z. FISCAL
1,AGUA RASA,2
2,ALTO DE PINHEIROS,1
3,ANHANGUERA,3
4,ARICANDUVA,2
5,ARTUR ALVIM,2
6,BARRA FUNDA,1
7,BELA VISTA,1
8,BELEM,2
9,BOM RETIRO,2
10,BRAS,1
11,BRASILANDIA,1
12,BUTANTA,2
13,CACHOEIRINHA,2
14,CAMBUCI,1
15,CAMPO BELO,1
16,CAMPO GRANDE,2
17,CAMPO LIMPO,3
18,CANGAIBA,2
19,CAPAO REDONDO,3
20,CARRAO,2
21,CASA VERDE,2
22,CIDADE ADEMAR,2
23,CIDADE DUTRA,2
24,CIDADE LIDER,3
25,CIDADE TIRADENTES,3
26,CONSOLACAO,1
27,CURSINO,2
28,ERMELINO MATARAZZO,3
29,FREGUESIA DO O,2
30,GRAJAU,3
31,GUAIANASES,3
32,IGUATEMI,3
33,IPIRANGA,1
34,ITAIM BIBI,1
35,ITAIM PAULISTA,3
36,ITAQUERA,3
37,JABAQUARA,2
38,JACANA,2
39,JAGUARA,2
40,JAGUARE,2
41,JARAGUA,3
42,JARDIM ANGELA,3
43,JARDIM HELENA,3
44,JARDIM PAULISTA,1
45,JARDIM SAO LUIS,3
46,JOSE BONIFACIO,3
47,LAJEADO,3
48,LAPA,1
49,LIBERDADE,1
50,LIMAO,2
51,MANDAQUI,2
52,MARSILAC,3
53,MOEMA,1
54,MOOCA,2
55,MORUMBI,1
56,PARELHEIROS,3
57,PARI,2
58,PARQUE DO CARMO,3
59,PEDREIRA,2
60,PENHA,2
61,PERDIZES,1
62,PERUS,3
63,PINHEIROS,1
64,PIRITUBA,2
65,PONTE RASA,2
66,RAPOSO TAVARES,3
67,REPUBLICA,1
68,RIO PEQUENO,2
69,SACOMA,2
70,SANTA CECILIA,1
71,SANTANA,1
72,SANTO AMARO,2
73,SAO DOMINGOS,2
74,SAO LUCAS,2
75,SAO MATEUS,3
76,SAO MIGUEL,3
77,SAO RAFAEL,3
78,SAPOPEMBA,3
79,SAUDE,1
80,SE,1
81,SOCORRO,2
82,TATUAPE,1
83,TREMEMBE,2
84,TUCURUVI,2
85,VILA ANDRADE,2
86,VILA CURUCA,3
87,VILA FORMOSA,2
88,VILA GUILHERME,2
89,VILA JACUI,3
90,VILA LEOPOLDINA,2
91,VILA MARIA,2
92,VILA MARIANA,1
93,VILA MATILDE,2
94,VILA MEDEIROS,2
95,VILA PRUDENTE,2
96,VILA SONIA,2
