"Bairro";"Gini";"Ano"
"BOM RETIRO";0.651682883949947;1995
"BRAS";0.70049991874254;1995
"CAMBUCI";0.650557894401947;1995
"PARI";0.612277066915122;1995
"MOOCA";0.649108926649514;1995
"LIBERDADE";0.727764453874123;1995
"IPIRANGA";0.682601584503823;1995
"BELA VISTA";0.702962215739674;1995
"JARDIM PAULISTA";0.620363727855501;1995
"CONSOLACAO";0.778787467924631;1995
"SANTA CECILIA";0.566549012074731;1995
"BARRA FUNDA";0.682177951174063;1995
"REPUBLICA";0.819773620003164;1995
"PERDIZES";0.547434310012635;1995
"PINHEIROS";0.562499006809258;1995
"ITAIM BIBI";0.587730160733916;1995
"ALTO DE PINHEIROS";0.561326514811468;1995
"LAPA";0.583717319771042;1995
"BELEM";0.746998847699899;1995
"TATUAPE";0.613125402244215;1995
"AGUA RASA";0.59305269325179;1995
"VILA PRUDENTE";0.629776245002593;1995
"VILA MARIANA";0.579305384806277;1995
"MOEMA";0.625076689355176;1995
"CAMPO BELO";0.568052358573605;1995
"SAUDE";0.529633359289923;1995
"CURSINO";0.453257717247229;1995
"SACOMA";0.50093685971076;1995
"VILA FORMOSA";0.484630827328097;1995
"VILA MATILDE";0.410101624981661;1995
"CIDADE LIDER";0.483095676433048;1995
"ITAQUERA";0.64844171869387;1995
"CANGAIBA";0.472304233856274;1995
"PENHA";0.711416835150882;1995
"VILA MARIA";0.591434574501154;1995
"VILA GUILHERME";0.803945780831198;1995
"VILA MEDEIROS";0.363672566457579;1995
"JACANA";0.498389698776341;1995
"TREMEMBE";0.597486823413813;1995
"TUCURUVI";0.547569893206281;1995
"SANTANA";0.65095164430059;1995
"MANDAQUI";0.369593320396787;1995
"LIMAO";0.674811097648528;1995
"CACHOEIRINHA";0.459457812954312;1995
"CASA VERDE";0.580405949696405;1995
"FREGUESIA DO O";0.454290017675904;1995
"PIRITUBA";0.585179712973019;1995
"JAGUARE";0.810123254348116;1995
"BUTANTA";0.558581841144011;1995
"VILA LEOPOLDINA";0.838926036788995;1995
"VILA SONIA";0.399270211254079;1995
"MORUMBI";0.624065578355732;1995
"SANTO AMARO";0.752162731970954;1995
"JABAQUARA";0.605665935091357;1995
"CIDADE ADEMAR";0.516225049167634;1995
"CAMPO GRANDE";0.477710572397532;1995
"SOCORRO";0.794129203562795;1995
"CIDADE DUTRA";0.401811697793506;1995
"RIO PEQUENO";0.398552687461736;1995
"JARDIM SAO LUIS";0.732444623410205;1995
"BRASILANDIA";0.441373123279393;1995
"ERMELINO MATARAZZO";0.516365354826343;1995
"PONTE RASA";0.392301799541298;1995
"SAO MIGUEL";0.748187959434581;1995
"JARDIM HELENA";0.612753475642345;1995
"VILA JACUI";0.478883727496587;1995
"VILA CURUCA";0.51906345180151;1995
"ARTUR ALVIM";0.400609173151288;1995
"LAJEADO";0.5823063775574;1995
"JOSE BONIFACIO";0.64316400576838;1995
"GUAIANASES";0.584214191139218;1995
"SAPOPEMBA";0.284981664132872;1995
"PEDREIRA";0.46520180305438;1995
"VILA ANDRADE";0.577189580650723;1995
"JARAGUA";0.594551832847387;1995
"ITAIM PAULISTA";0.71298465219582;1995
"SAO MATEUS";0.519153385672016;1995
"JARDIM ANGELA";0.525138711420329;1995
"GRAJAU";0.574784810569406;1995
"CAPAO REDONDO";0.604336492097771;1995
"SE";0;1995
"CAMPO LIMPO";0.564671855388576;1995
"PERUS";0.495941652605032;1995
"PARELHEIROS";0.536722797775434;1995
"IGUATEMI";0.298180786310073;1995
"ANHANGUERA";0.692560788718427;1995
"MARSILAC";0.511250674245435;1995
