"Bairro";"Gini";"Ano"
"CAMBUCI";0.370756851789025;1995
"BRAS";0.356834114245884;1995
"MOOCA";0.391153197700174;1995
"IPIRANGA";0.355849062325364;1995
"LIBERDADE";0.408625801959326;1995
"BELA VISTA";0.504066292297341;1995
"CONSOLACAO";0.47582133319244;1995
"JARDIM PAULISTA";0.480442400643337;1995
"BARRA FUNDA";0.392357805755446;1995
"SANTA CECILIA";0.460959054041404;1995
"REPUBLICA";0.369032380365718;1995
"BOM RETIRO";0.36157785024369;1995
"PERDIZES";0.378314769344388;1995
"PINHEIROS";0.390929091265409;1995
"ITAIM BIBI";0.40576928573236;1995
"PARI";0.345175043300529;1995
"LAPA";0.400719411161162;1995
"BELEM";0.367493807911991;1995
"TATUAPE";0.343889956369457;1995
"AGUA RASA";0.341641067950048;1995
"VILA PRUDENTE";0.377636532401115;1995
"VILA MARIANA";0.377400511847018;1995
"MOEMA";0.464660792118755;1995
"SAUDE";0.357886742974071;1995
"CURSINO";0.125567001493;1995
"SACOMA";0.322245378256605;1995
"VILA FORMOSA";0.348070378704002;1995
"VILA MATILDE";0.331261471995264;1995
"ITAQUERA";0.428288248696815;1995
"CIDADE LIDER";0.349293435833753;1995
"CANGAIBA";0.343723224806486;1995
"PENHA";0.221674827437871;1995
"VILA GUILHERME";0.343913836690488;1995
"VILA MARIA";0.34520380450809;1995
"VILA MEDEIROS";0.308109886835501;1995
"JACANA";0.305091341708969;1995
"TUCURUVI";0.431057632623865;1995
"SANTANA";0.391316168944966;1995
"TREMEMBE";0.449373177129828;1995
"MANDAQUI";0.298966708726718;1995
"CACHOEIRINHA";0.278369795828391;1995
"CASA VERDE";0.303193757067334;1995
"LIMAO";0.363948636389677;1995
"FREGUESIA DO O";0.23683773329995;1995
"PIRITUBA";0.24092992336307;1995
"JAGUARE";0.279485029130573;1995
"BUTANTA";0.433531913646099;1995
"VILA LEOPOLDINA";0.300806035379195;1995
"ALTO DE PINHEIROS";0.487611660586845;1995
"VILA SONIA";0.258352769640309;1995
"CAMPO BELO";0.432962142942566;1995
"SANTO AMARO";0.378590537929564;1995
"JABAQUARA";0.302463902741248;1995
"CIDADE ADEMAR";0.291862497705257;1995
"CAMPO GRANDE";0.178623438817747;1995
"SOCORRO";0.289868452139549;1995
"CIDADE DUTRA";0.260904319360183;1995
"RIO PEQUENO";0.28653832579897;1995
"MORUMBI";0.539476895032143;1995
"JARDIM SAO LUIS";0.345004695113949;1995
"BRASILANDIA";0.348519931013352;1995
"ERMELINO MATARAZZO";0.313379657340375;1995
"PONTE RASA";0.236480619515719;1995
"SAO MIGUEL";0.419340767609593;1995
"JARDIM HELENA";0.391377029472773;1995
"VILA JACUI";0.35471598735929;1995
"VILA CURUCA";0.404904898934605;1995
"ARTUR ALVIM";0.354909840769141;1995
"LAJEADO";0.479361790753758;1995
"JOSE BONIFACIO";0.676020129149499;1995
"GUAIANASES";0.477457963999085;1995
"SAPOPEMBA";0.241784996493669;1995
"PEDREIRA";0.316945960054333;1995
"VILA ANDRADE";0.466908501054389;1995
"JARAGUA";0.478035208784965;1995
"ITAIM PAULISTA";0.381806697647553;1995
"SAO MATEUS";0.318959612928823;1995
"JARDIM ANGELA";0.389823757324242;1995
"CAPAO REDONDO";0.437263766605139;1995
"CAMPO LIMPO";0.276933587941168;1995
"GRAJAU";0.411996234044733;1995
"PERUS";0.381913330036131;1995
"IGUATEMI";0;1995
"ANHANGUERA";0.490793020911739;1995
"PARELHEIROS";0.359152392518315;1995
"MARSILAC";0.230169578103715;1995
