"Bairro";"Gini";"Ano"
"BOM RETIRO";0.651864066113216;1995
"BRAS";0.70050938780409;1995
"CAMBUCI";0.65057396118728;1995
"PARI";0.612277066915122;1995
"MOOCA";0.649133907979287;1995
"LIBERDADE";0.727752291068772;1995
"IPIRANGA";0.682701594230671;1995
"BELA VISTA";0.703036841462386;1995
"JARDIM PAULISTA";0.620426423286917;1995
"CONSOLACAO";0.778809242217834;1995
"SANTA CECILIA";0.566549012074731;1995
"BARRA FUNDA";0.682318817159035;1995
"REPUBLICA";0.819773620003164;1995
"PERDIZES";0.547464628848157;1995
"PINHEIROS";0.562637623589483;1995
"ITAIM BIBI";0.58772524671143;1995
"ALTO DE PINHEIROS";0.561326514811468;1995
"LAPA";0.583712328756264;1995
"BELEM";0.746973908620505;1995
"TATUAPE";0.613197549368252;1995
"AGUA RASA";0.59305269325179;1995
"VILA PRUDENTE";0.62981088752194;1995
"VILA MARIANA";0.579357822386839;1995
"MOEMA";0.625106928665362;1995
"CAMPO BELO";0.568098912175788;1995
"SAUDE";0.529673458501972;1995
"CURSINO";0.453257717247229;1995
"SACOMA";0.500968010651066;1995
"VILA FORMOSA";0.484633957958731;1995
"VILA MATILDE";0.410110542627374;1995
"CIDADE LIDER";0.483115394884996;1995
"ITAQUERA";0.648706924843212;1995
"CANGAIBA";0.472401766842516;1995
"PENHA";0.711340953927892;1995
"VILA MARIA";0.59155833636605;1995
"VILA GUILHERME";0.804012744091672;1995
"VILA MEDEIROS";0.363776067435448;1995
"JACANA";0.498389698776341;1995
"TREMEMBE";0.597634423216639;1995
"TUCURUVI";0.547795227641088;1995
"SANTANA";0.65097638281084;1995
"MANDAQUI";0.369598168089347;1995
"LIMAO";0.674811097648528;1995
"CACHOEIRINHA";0.459457812954312;1995
"CASA VERDE";0.580452956695381;1995
"FREGUESIA DO O";0.454290017675904;1995
"PIRITUBA";0.585179712973019;1995
"JAGUARE";0.810169796581647;1995
"BUTANTA";0.558570393340705;1995
"VILA LEOPOLDINA";0.838959643442478;1995
"VILA SONIA";0.399270211254079;1995
"MORUMBI";0.624103362459957;1995
"SANTO AMARO";0.752313314491064;1995
"JABAQUARA";0.605777374664255;1995
"CIDADE ADEMAR";0.516225049167634;1995
"CAMPO GRANDE";0.477710572397532;1995
"SOCORRO";0.794157236673402;1995
"CIDADE DUTRA";0.401870778252697;1995
"RIO PEQUENO";0.398552687461736;1995
"JARDIM SAO LUIS";0.732506264894131;1995
"BRASILANDIA";0.441373123279393;1995
"ERMELINO MATARAZZO";0.516365354826343;1995
"PONTE RASA";0.392301799541298;1995
"SAO MIGUEL";0.748148319572066;1995
"JARDIM HELENA";0.612885476313676;1995
"VILA JACUI";0.478875199666708;1995
"VILA CURUCA";0.51926772081836;1995
"ARTUR ALVIM";0.400384052114129;1995
"LAJEADO";0.582278613969071;1995
"JOSE BONIFACIO";0.64316400576838;1995
"GUAIANASES";0.58409443347105;1995
"SAPOPEMBA";0.284981664132872;1995
"PEDREIRA";0.46520180305438;1995
"VILA ANDRADE";0.577189580650723;1995
"JARAGUA";0.594551832847387;1995
"ITAIM PAULISTA";0.713407896476084;1995
"SAO MATEUS";0.518912113199415;1995
"JARDIM ANGELA";0.525256655853644;1995
"GRAJAU";0.575125845443063;1995
"CAPAO REDONDO";0.604282230524926;1995
"SE";0;1995
"CAMPO LIMPO";0.564671855388576;1995
"PERUS";0.495941652605032;1995
"PARELHEIROS";0.537518691015127;1995
"IGUATEMI";0.298180786310073;1995
"ANHANGUERA";0.692560788718427;1995
"MARSILAC";0.511250674245435;1995
